time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-23 00:00:00+00:00,4,4,261,38
2023-07-24 00:00:00+00:00,94,45,2421,365
2023-07-25 00:00:00+00:00,159,49,2547,363
2023-07-26 00:00:00+00:00,69,41,2408,336
2023-07-27 00:00:00+00:00,75,33,1622,320
2023-07-28 00:00:00+00:00,55,39,1527,257
2023-07-29 00:00:00+00:00,19,19,1124,141
2023-07-30 00:00:00+00:00,128,12,627,132
2023-07-31 00:00:00+00:00,140,35,2189,302
2023-08-01 00:00:00+00:00,274,56,2543,325
2023-08-02 00:00:00+00:00,161,45,2336,327
2023-08-03 00:00:00+00:00,72,24,1785,286
2023-08-04 00:00:00+00:00,56,41,1491,267
2023-08-05 00:00:00+00:00,14,11,731,125
2023-08-06 00:00:00+00:00,13,13,592,98
