url_path,views_total,views_unique
/vikadata/StatusCheck,49,9
/vikadata/StatusCheck/actions,36,4
/vikadata/StatusCheck/actions/workflows/broken-link.yaml,29,4
/vikadata/StatusCheck/issues,24,2
/vikadata/StatusCheck/tree/main/.github,23,4
/vikadata/StatusCheck/blob/main/.github/workflows/broken-link.yaml,15,3
/vikadata/StatusCheck/actions/workflows/status-check.yaml,13,2
/vikadata/StatusCheck/tree/main/.github/workflows,11,3
/vikadata/StatusCheck/actions/runs/3737051726,11,2
/vikadata/StatusCheck/blob/main/.github/linkinator.config.json,9,3
