time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-14 00:00:00+00:00,155,4,114.0,2.0
2022-12-15 00:00:00+00:00,151,2,3.0,1.0
2022-12-16 00:00:00+00:00,157,1,,
2022-12-17 00:00:00+00:00,162,1,,
2022-12-18 00:00:00+00:00,160,1,,
2022-12-19 00:00:00+00:00,157,1,6.0,2.0
2022-12-20 00:00:00+00:00,169,8,149.0,5.0
2022-12-21 00:00:00+00:00,159,4,32.0,2.0
2022-12-22 00:00:00+00:00,156,2,1.0,1.0
2022-12-23 00:00:00+00:00,159,3,47.0,2.0
2022-12-24 00:00:00+00:00,162,1,,
2022-12-25 00:00:00+00:00,159,1,,
2022-12-26 00:00:00+00:00,158,1,,
2022-12-27 00:00:00+00:00,188,21,291.0,2.0
